TrialID;SensorType;ActivityType;Distance_m;GroundTruth;Sensor_output;StartTime;EndTime;Sensor_Time;Date
36;mmWave;Dog_walking;0.5;0;0;13:22:11;13:22:25;NA;05-03-2026
37;PIR;Dog_walking;0.5;0;0;13:22:45;13:22:58;NA;05-03-2026
37;mmWave;Dog_walking;0.5;0;0;13:22:45;13:22:58;NA;05-03-2026
38;PIR;Dog_walking;0.5;0;0;13:23:15;13:23:29;NA;05-03-2026
38;mmWave;Dog_walking;0.5;0;0;13:23:15;13:23:29;NA;05-03-2026
39;PIR;Dog_walking;0.5;0;0;13:23:56;13:24:13;NA;05-03-2026
39;mmWave;Dog_walking;0.5;0;0;13:23:56;13:24:13;NA;05-03-2026
40;PIR;Dog_walking;0.5;0;0;13:24:29;13:24:51;NA;05-03-2026
40;mmWave;Dog_walking;0.5;0;0;13:24:29;13:24:51;NA;05-03-2026
41;PIR;Machine;0.5;1;0;14:13:00;14:13:15;NA;12-03-2026
41;mmWave;Machine;0.5;1;0;14:13:00;14:13:15;NA;12-03-2026
42;PIR;Machine;0.5;1;0;14:14:15;14:14:30;NA;12-03-2026
42;mmWave;Machine;0.5;1;0;14:14:15;14:14:30;NA;12-03-2026
43;PIR;Machine;0.5;1;0;14:15:45;14:16:00;NA;12-03-2026
43;mmWave;Machine;0.5;1;0;14:15:45;14:16:00;NA;12-03-2026
44;PIR;Machine;0.5;1;0;14:17:30;14:17:45;NA;12-03-2026
44;mmWave;Machine;0.5;1;0;14:17:30;14:17:45;NA;12-03-2026
45;PIR;Machine;0.5;1;0;14:19:00;14:19:15;NA;12-03-2026
45;mmWave;Machine;0.5;1;0;14:19:00;14:19:15;NA;12-03-2026
46;PIR;Machine;0.5;1;0;14:20:30;14:20:45;NA;12-03-2026
46;mmWave;Machine;0.5;1;0;14:20:30;14:20:45;NA;12-03-2026
47;PIR;Machine;0.5;1;0;14:21:45;14:22:00;NA;12-03-2026
47;mmWave;Machine;0.5;1;0;14:21:45;14:22:00;NA;12-03-2026
48;PIR;Machine;0.5;1;0;14:23:15;14:23:30;NA;12-03-2026
48;mmWave;Machine;0.5;1;0;14:23:15;14:23:30;NA;12-03-2026
49;PIR;Machine;0.5;1;0;14:24:30;14:24:45;NA;12-03-2026
49;mmWave;Machine;0.5;1;0;14:24:30;14:24:45;NA;12-03-2026
50;PIR;Machine;0.5;1;0;14:27:45;14:28:00;NA;12-03-2026
50;mmWave;Machine;0.5;1;0;14:27:45;14:28:00;NA;12-03-2026
51;PIR;Machine;0.5;0;0;14:12:15;14:12:30;NA;12-03-2026
51;mmWave;Machine;0.5;0;0;14:12:15;14:12:30;NA;12-03-2026
52;PIR;Machine;0.5;0;0;14:14:00;14:14:15;NA;12-03-2026
52;mmWave;Machine;0.5;0;0;14:14:00;14:14:15;NA;12-03-2026
53;PIR;Machine;0.5;0;0;14:15:00;14:15:15;NA;12-03-2026
53;mmWave;Machine;0.5;0;0;14:15:00;14:15:15;NA;12-03-2026
54;PIR;Machine;0.5;0;0;14:16:30;14:16:45;NA;12-03-2026
54;mmWave;Machine;0.5;0;0;14:16:30;14:16:45;NA;12-03-2026
55;PIR;Machine;0.5;0;0;14:18:15;14:18:30;NA;12-03-2026
55;mmWave;Machine;0.5;0;0;14:18:15;14:18:30;NA;12-03-2026
56;PIR;Machine;0.5;0;0;14:19:45;14:20:00;NA;12-03-2026
56;mmWave;Machine;0.5;0;0;14:19:45;14:20:00;NA;12-03-2026
57;PIR;Machine;0.5;0;0;14:21:00;14:21:15;NA;12-03-2026
57;mmWave;Machine;0.5;0;0;14:21:00;14:21:15;NA;12-03-2026
58;PIR;Machine;0.5;0;0;14:22:30;14:22:45;NA;12-03-2026
58;mmWave;Machine;0.5;0;0;14:22:30;14:22:45;NA;12-03-2026
59;PIR;Machine;0.5;0;0;14:24:00;14:24:15;NA;12-03-2026
59;mmWave;Machine;0.5;0;0;14:24:00;14:24:15;NA;12-03-2026
60;PIR;Machine;0.5;0;0;14:27:15;14:27:30;NA;12-03-2026
60;mmWave;Machine;0.5;0;0;14:27:15;14:27:30;NA;12-03-2026
61;PIR;Human_walking;2,00;1;0;16:11:35;16:11:45;NA;08-03-2026
61;mmWave;Human_walking;2,00;1;0;16:11:35;16:11:45;NA;08-03-2026
62;PIR;Human_walking;2,00;1;1;16:12:35;16:12:45;16:12:39;08-03-2026
62;mmWave;Human_walking;2,00;1;1;16:12:35;16:12:45;16:12:39;08-03-2026
63;PIR;Human_walking;2,00;1;1;16:14:11;16:14:18;16:14:15;08-03-2026
63;mmWave;Human_walking;2,00;1;1;16:14:11;16:14:18;16:14:13;08-03-2026
64;PIR;Human_walking;2,00;1;1;16:16:22;16:16:32;16:16:27;08-03-2026
64;mmWave;Human_walking;2,00;1;1;16:16:22;16:16:32;16:16:25;08-03-2026
65;PIR;Human_walking;2,00;1;1;16:19:42;16:19:49;16:19:46;08-03-2026
65;mmWave;Human_walking;2,00;1;1;16:19:42;16:19:49;16:19:44;08-03-2026
66;PIR;Human_walking;2,00;1;1;16:21:50;16:22:00;16:21:54;08-03-2026
66;mmWave;Human_walking;2,00;1;0;16:21:50;16:22:00;NA;08-03-2026
67;PIR;Human_walking;2,00;1;1;16:23:06;16:23:16;16:23:09;08-03-2026
67;mmWave;Human_walking;2,00;1;1;16:23:06;16:23:16;16:23:11;08-03-2026
68;PIR;Human_walking;2,00;1;1;16:26:30;16:26:40;16:26:34;08-03-2026
68;mmWave;Human_walking;2,00;1;0;16:26:30;16:26:40;NA;08-03-2026
69;PIR;Human_walking;2,00;1;0;16:28:54;16:29:03;NA;08-03-2026
69;mmWave;Human_walking;2,00;1;1;16:28:54;16:29:03;16:28:56;08-03-2026
70;PIR;Human_walking;2,00;1;1;16:31:33;16:31:42;16:31:38;08-03-2026
70;mmWave;Human_walking;2,00;1;1;16:31:33;16:31:42;16:31:36;08-03-2026
71;PIR;Human_walking;2,00;0;0;16:33:00;16:33:15;NA;08-03-2026
71;mmWave;Human_walking;2,00;0;0;16:33:00;16:33:15;NA;08-03-2026
72;PIR;Human_walking;2,00;0;0;16:33:30;16:33:45;NA;08-03-2026
72;mmWave;Human_walking;2,00;0;0;16:33:30;16:33:45;NA;08-03-2026
73;PIR;Human_walking;2,00;0;0;16:34:00;16:34:15;NA;08-03-2026
73;mmWave;Human_walking;2,00;0;0;16:34:00;16:34:15;NA;08-03-2026
74;PIR;Human_walking;2,00;0;0;16:34:30;16:34:45;NA;08-03-2026
74;mmWave;Human_walking;2,00;0;0;16:34:30;16:34:45;NA;08-03-2026
75;PIR;Human_walking;2,00;0;0;16:35:00;16:35:15;NA;08-03-2026
75;mmWave;Human_walking;2,00;0;0;16:35:00;16:35:15;NA;08-03-2026
76;PIR;Human_walking;2,00;0;0;16:35:30;16:35:45;NA;08-03-2026
76;mmWave;Human_walking;2,00;0;0;16:35:30;16:35:45;NA;08-03-2026
77;PIR;Human_walking;2,00;0;0;16:36:00;16:36:15;NA;08-03-2026
77;mmWave;Human_walking;2,00;0;0;16:36:00;16:36:15;NA;08-03-2026
78;PIR;Human_walking;2,00;0;0;16:36:30;16:36:45;NA;08-03-2026
78;mmWave;Human_walking;2,00;0;0;16:36:30;16:36:45;NA;08-03-2026
79;PIR;Human_walking;2,00;0;0;16:37:00;16:37:15;NA;08-03-2026
79;mmWave;Human_walking;2,00;0;0;16:37:00;16:37:15;NA;08-03-2026
80;PIR;Human_walking;2,00;0;0;16:37:30;16:37:45;NA;08-03-2026
80;mmWave;Human_walking;2,00;0;0;16:37:30;16:37:45;NA;08-03-2026
81;PIR;Dog_walking;2,00;1;1;13:49:48;13:49:56;13:49:51;05-03-2026
81;mmWave;Dog_walking;2,00;1;0;13:49:48;13:49:56;NA;05-03-2026
82;PIR;Dog_walking;2,00;1;1;13:53:54;13:53:59;13:53:56;05-03-2026
82;mmWave;Dog_walking;2,00;1;0;13:53:54;13:53:59;NA;05-03-2026
83;PIR;Dog_walking;2,00;1;1;13:55:10;13:55:15;13:55:11;05-03-2026
83;mmWave;Dog_walking;2,00;1;1;13:55:10;13:55:15;13:55:11;05-03-2026
84;PIR;Dog_walking;2,00;1;1;14:05:40;14:05:48;14:05:42;05-03-2026
84;mmWave;Dog_walking;2,00;1;1;14:05:40;14:05:48;14:05:45;05-03-2026
